brand,model,vehicle_type,energy_type,price_min,price_max,cltc_range,battery_kwh,fast_charge_minutes,seats,drive_type,adas_level,smart_cockpit,wheelbase,trunk_volume,safety_score,monthly_sales,suitable_scenarios,highlights,weaknesses
比亚迪,宋PLUS DM-i,SUV,插混,129800,169800,1100,18.3,35,5,前驱,L2,DiLink,2765,574,92,32000,家用;低油耗;无家充;城市通勤,插混油耗低;空间实用;保有量大;售后网点多,高速后段动力一般;智能驾驶保守
比亚迪,宋L EV,SUV,纯电,189800,249800,662,87.0,30,5,后驱,L2,DiLink,2930,410,91,12000,家庭;纯电通勤;设计偏好;有家充,纯电平台;外观运动;空间表现好,品牌溢价感一般;后备箱容积中等
特斯拉,Model Y,SUV,纯电,263900,363900,688,78.4,27,5,后驱,L2,特斯拉座舱,2890,854,94,41000,家庭;长途;智能化;品牌偏好,能耗控制优秀;补能网络成熟;保值率高,内饰简约;舒适配置少;价格波动
小鹏,G6,SUV,纯电,199900,276900,755,87.5,20,5,后驱,L2+,Xmart OS,2890,571,90,8500,智驾;城市通勤;年轻家庭;长途补能,800V 快充;智驾能力强;性价比高,品牌保值率需观察;后排舒适性一般
理想,L6,SUV,增程,249800,279800,1390,36.8,30,5,四驱,L2+,理想座舱,2920,491,93,23000,家庭;长途;露营;无续航焦虑,空间舒适;增程适合长途;座舱体验强,纯电续航有限;车重较高
理想,L7,SUV,增程,319800,379800,1315,42.8,30,5,四驱,L2+,理想座舱,3005,801,94,15000,大五座;家庭;商务;长途,舒适性强;空间大;配置丰富,价格较高;城市停车压力
问界,M7,SUV,增程,249800,329800,1300,40.0,30,5,四驱,L2+,鸿蒙座舱,2820,686,93,19000,家庭;智能座舱;长途;安全,鸿蒙生态;舒适配置强;主动安全丰富,车型较大;第三方口碑分化
问界,M9,SUV,增程,469800,569800,1402,52.0,30,6,四驱,L2+,鸿蒙座舱,3110,716,95,15000,高端家庭;商务;六座;智能化,高端配置;空间豪华;科技感强,价格高;使用成本高
蔚来,ES6,SUV,纯电,338000,396000,625,100.0,40,5,四驱,L2+,Banyan,2915,579,93,7600,换电;高端;家庭;服务体验,换电体系;服务体验好;底盘质感强,购车门槛高;能耗偏高
蔚来,ET5T,旅行车,纯电,298000,356000,680,100.0,40,5,四驱,L2+,Banyan,2888,450,92,5600,年轻家庭;旅行;设计偏好;换电,旅行车造型;驾驶质感好;换电便利,后排空间一般;价格较高
极氪,007,轿车,纯电,209900,299900,870,100.0,15,5,后驱,L2+,ZEEKR OS,2928,462,92,11000,年轻用户;性能;长续航;智能化,续航强;快充快;底盘质感好,后排头部空间一般;品牌认知仍在提升
极氪,001,猎装车,纯电,269000,329000,750,100.0,30,5,四驱,L2+,ZEEKR OS,3005,2144,94,9000,性能;旅行;家庭;长途,空间大;性能强;底盘高级,车身较宽;低速能耗偏高
吉利,银河L7,SUV,插混,125700,169700,1370,18.7,30,5,前驱,L2,银河N OS,2785,650,89,10500,家用;预算有限;低油耗;无家充,价格亲民;插混省油;配置丰富,品牌高端感一般;底盘质感普通
长安,深蓝S7,SUV,增程,149900,217900,1120,31.7,35,5,后驱,L2,Deepal OS,2900,570,88,9800,年轻家庭;预算敏感;增程;城市通勤,设计年轻;价格友好;增程实用,品牌服务网络差异;智能化一般
零跑,C11,SUV,增程,148800,205800,1210,43.7,30,5,后驱,L2,Leapmotor OS,2930,375,87,14000,预算敏感;家用;增程;空间,价格优势大;空间宽敞;配置高,品牌溢价弱;保值率一般
埃安,AION Y,SUV,纯电,119800,189800,610,69.9,40,5,前驱,L2,ADiGO,2750,405,88,16000,网约;城市通勤;家庭代步;预算有限,空间大;价格亲民;城市代步好,高速质感一般;智能化一般
大众,ID.4 CROZZ,SUV,纯电,193900,293900,600,84.8,40,5,后驱,L2,MEB座舱,2765,512,91,5200,合资品牌;家用;稳定;城市通勤,底盘稳;品牌认知高;安全配置扎实,智能座舱较弱;补能体验一般
宝马,iX3,SUV,纯电,405000,445000,550,80.0,45,5,后驱,L2,iDrive,2864,510,92,3400,豪华品牌;家庭;驾驶质感,品牌豪华;操控好;做工稳定,续航参数一般;智能化弱
腾势,N7,SUV,纯电,239800,329800,702,91.4,25,5,四驱,L2+,Denza Link,2940,480,93,4300,豪华家用;舒适;长途;智能化,舒适配置强;底盘高级;品牌背书,销量规模有限;价格区间竞争激烈
岚图,FREE,SUV,增程,266900,266900,1201,39.2,30,5,四驱,L2+,VOYAH OS,2960,560,92,3600,长途;家庭;舒适;增程,底盘质感强;配置高;长途友好,品牌认知较弱;门店覆盖有限
哪吒,L,SUV,增程,129900,179900,1300,40.0,30,5,后驱,L2,Neta OS,2810,583,86,4200,预算有限;家用;增程;年轻用户,价格低;配置丰富;续航焦虑低,品牌保值弱;高端感不足
小米,SU7,轿车,纯电,215900,299900,830,101.0,19,5,后驱,L2+,澎湃座舱,3000,517,92,18000,年轻用户;科技;性能;城市通勤,智能生态强;性能突出;设计吸引力强,交付周期可能较长;后排空间一般
特斯拉,Model 3,轿车,纯电,235500,339500,830,78.4,27,5,后驱,L2,特斯拉座舱,2875,682,93,22000,年轻用户;社交形象;城市通勤;长续航;品牌,品牌识别度高;能耗优秀;操控直接;补能网络成熟,内饰简约;舒适配置少;价格波动
